Time (s),Amplitude
0.051156,-0.031342
0.051202,-0.015228
0.051247,0.000092
0.051293,0.018860
0.051338,0.038483
0.051383,0.026398
0.051429,-0.013245
0.051474,-0.032623
0.051519,-0.020477
0.051565,-0.004395
0.051610,0.008636
0.051655,0.020905
0.051701,0.018127
0.051746,0.000336
0.051791,-0.011017
0.051837,-0.008057
0.051882,-0.001587
0.051927,-0.000214
0.051973,-0.002716
0.052018,-0.003052
0.052063,-0.000580
0.052109,0.000305
0.052154,0.002258
0.052200,0.006531
0.052245,0.000610
0.052290,-0.017792
0.052336,-0.026215
0.052381,-0.013092
0.052426,0.004089
0.052472,0.012878
0.052517,0.016235
0.052562,0.008087
0.052608,-0.015594
0.052653,-0.033569
0.052698,-0.025513
0.052744,-0.001617
0.052789,0.018677
0.052834,0.028229
0.052880,0.019989
0.052925,-0.008453
0.052971,-0.035034
0.053016,-0.035370
0.053061,-0.012207
0.053107,0.016083
0.053152,0.032837
0.053197,0.027222
0.053243,0.002655
0.053288,-0.024658
0.053333,-0.037323
0.053379,-0.024078
0.053424,0.007874
0.053469,0.031952
0.053515,0.030457
0.053560,0.010620
0.053605,-0.012695
0.053651,-0.026337
0.053696,-0.020172
0.053741,-0.001984
0.053787,0.010864
0.053832,0.015320
0.053878,0.010986
0.053923,-0.003204
0.053968,-0.011444
0.054014,-0.003845
0.054059,0.002258
0.054104,-0.004974
0.054150,-0.009521
0.054195,-0.003235
0.054240,0.000000
0.054286,0.002106
0.054331,0.014496
0.054376,0.019226
0.054422,-0.006683
0.054467,-0.037384
0.054512,-0.031830
0.054558,-0.006775
0.054603,0.002533
0.054649,0.008820
0.054694,0.019836
0.054739,0.005493
0.054785,-0.030792
0.054830,-0.044189
0.054875,-0.022308
0.054921,0.002930
0.054966,0.009857
0.055011,0.008850
0.055057,0.006378
0.055102,-0.010345
0.055147,-0.032135
0.055193,-0.028046
0.055238,-0.003754
0.055283,0.006805
0.055329,0.002625
0.055374,0.002228
0.055420,-0.001221
0.055465,-0.014893
0.055510,-0.019745
0.055556,-0.007233
0.055601,0.003021
0.055646,-0.001251
0.055692,-0.006226
0.055737,-0.001343
0.055782,0.001648
0.055828,-0.002533
0.055873,-0.001984
0.055918,-0.000305
0.055964,-0.010406
0.056009,-0.019653
0.056054,-0.010254
0.056100,0.007141
0.056145,0.015564
0.056190,0.014404
0.056236,0.004059
0.056281,-0.015289
0.056327,-0.028839
0.056372,-0.021393
0.056417,0.002289
0.056463,0.024170
0.056508,0.029053
0.056553,0.014130
0.056599,-0.010254
0.056644,-0.028961
0.056689,-0.029449
0.056735,-0.007996
0.056780,0.022186
0.056825,0.036774
0.056871,0.024506
0.056916,-0.001709
0.056961,-0.023682
0.057007,-0.029785
0.057052,-0.015411
0.057098,0.009857
0.057143,0.026276
0.057188,0.023621
